File Name,LPIPS Value (Percentage Of Diff%)
7.png,34.1174840927124
3.png,36.03389859199524
4.png,42.89865493774414
6.png,24.27639365196228
9.png,19.90351676940918
5.png,28.031820058822632
2.png,58.56475830078125
10.png,19.571954011917114
1.png,28.234750032424927
8.png,13.924674689769745
